,,,,
Table 0,,,
,,,,
beta,gamma,,,
1.1458333333333333,0.6284722222222222,,
,,,,
year, S, I, R
2014, 7726906, 1, 0
2020, 7726859, 22, 26
2030, 7718040, 4001, 4865
2040, 6530088, 483598, 713220
2050, 2324215, 311362, 5091330
,,,,
,,,,
Table 1,,,
,,,,
beta,gamma,,,
1.2777777777777777,0.4965277777777778,,
,,,,
year, S, I, R
2014, 7726906, 1, 0
2020, 7726728, 109, 69
2030, 7307364, 251921, 167621
2040, 1004591, 596678, 6125637
2050, 764435, 16535, 6945936
,,,,
,,,,
Table 2,,,
,,,,
beta,gamma,,,
1.4097222222222223,0.3645833333333333,,
,,,,
year, S, I, R
2014, 7726906, 1, 0
2020, 7726184, 536, 186
2030, 2330067, 3001209, 2395630
2040, 198952, 215243, 7312711
2050, 177432, 8002, 7541472
,,,,
